stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Aachen Hbf,320364,56360,50.76794,6.090865,
Aachen Süd(Gr),,146014,50.731915,6.04541,1
Aachen Süd(Gr),146014,422076,50.731915,6.04541,
"Aachen, Hbf,Aachen",,320364,50.767723,6.092051,1
Aalen Hauptbahnhof,,491890,48.841602,10.096031,1
Aalen Hbf,491890,36109,48.84168,10.09613,
Almere Centrum,,18576,52.37524,5.21877,1
Almere Centrum,18576,492884,52.37524,5.21877,
Altena (Westfalen),,123810,51.301826,7.668091,1
Altena(Westf),123810,397170,51.301956,7.668576,
Altena(Westf),123810,57437,51.302013,7.668693,
Altenbeken,,145421,51.766094,8.943016,1
Altenbeken,145421,514189,51.766296,8.94298,
Amersfoort Centraal,,409086,52.153465,5.373909,1
Amersfoort Centraal,409086,31428,52.153465,5.373909,
Amsterdam Bijlmer ArenA,,266864,52.31222,4.947142,1
Amsterdam Bijlmer ArenA,266864,232486,52.31222,4.947142,
Amsterdam Centraal,,380612,52.37919,4.899431,1
Amsterdam Centraal,380612,296676,52.37919,4.899431,
Amstetten NÖ,,63815,48.121605,14.878112,1
Amstetten NÖ,63815,415265,48.121605,14.878112,
Andernach,247505,42274,50.434544,7.404839,
Andernach Bahnhof,,247505,50.434544,7.40484,1
Angermünde,99037,437303,53.015793,13.995908,
Angermünde,99037,525121,53.01574,13.995672,
"Angermünde, Bahnhof",,99037,53.015823,13.995871,1
Anklam,211335,506068,53.8563,13.701554,
Anklam,211335,606799,53.85625,13.701518,
Anklam Bahnhof,,211335,53.855984,13.701563,1
Ansbach,,215532,49.29803,10.578246,1
Ansbach,215532,426554,49.29803,10.578239,
Apeldoorn,,424254,52.20943,5.968491,1
Apeldoorn,424254,496030,52.20943,5.968491,
Arnhem Centraal,,16511,51.98478,5.901003,1
Arnhem Centraal,16511,467833,51.98478,5.901003,
Aschaffenburg Hbf,,580374,49.980556,9.1437,1
Aschaffenburg Hbf,580374,12579,49.980556,9.143697,
Attnang-Puchheim,,11240,48.012802,13.720719,1
Attnang-Puchheim,11240,82403,48.012802,13.720719,
Augsburg Hbf,,387430,48.36544,10.885569,1
Augsburg Hbf,387430,404694,48.36544,10.88557,
Augustfehn,,430577,53.220894,7.759622,1
Augustfehn,430577,25604,53.220844,7.75963,
Augustfehn,430577,544316,53.220943,7.759614,
Bad Bentheim,187456,120628,52.30978,7.157785,
Bad Bentheim,187456,471121,52.309853,7.157776,
Bad Bentheim Bahnhof,,187456,52.30953,7.158737,1
Bad Bentheim(Gr),,427546,52.3091,7.04016,1
Bad Bentheim(Gr),427546,323900,52.3091,7.04016,
Bad Bevensen,,22950,53.078247,10.574141,1
Bad Bevensen,22950,372155,53.07822,10.574081,
Bad Bevensen,22950,438567,53.078274,10.574201,
Bad Endorf,,138211,47.905067,12.301556,1
Bad Endorf,138211,492166,47.905067,12.301558,
Bad Gastein,,293577,47.111774,13.131945,1
Bad Gastein,293577,319845,47.111774,13.131945,
Bad Hersfeld,,301621,50.869633,9.716182,1
Bad Hersfeld,301621,243684,50.869633,9.716182,
Bad Hofgastein,,318412,47.195713,13.100939,1
Bad Hofgastein,318412,289101,47.195713,13.100939,
Bad Kleinen,207402,104687,53.766644,11.466456,
Bad Kleinen,207402,150951,53.766945,11.466213,
Bad Kleinen Bhf,,207402,53.76746,11.466429,1
Bad Nauheim,229684,94147,50.367695,8.749241,
Bad Nauheim Bahnhof,,229684,50.367798,8.748327,1
Bad Oeynhausen,343887,557782,52.205322,8.795944,
Bad Oeynhausen,343887,90637,52.205257,8.795962,
"Bad Oeynhausen, Bf/ZOB",,343887,52.205353,8.79916,1
Bad Schandau,566298,314125,50.919315,14.137713,
Bad Schandau,566298,575105,50.91921,14.137704,
Bad Schandau Nationalparkbahnhof,,566298,50.91927,14.138099,1
Bad Zwischenahn,,25796,53.182568,8.002996,1
Bad Zwischenahn,25796,79544,53.182713,8.002593,
Baden(CH),,525428,47.476425,8.307709,1
Baden(CH),525428,452196,47.476425,8.307709,
Baden-Baden,,27661,48.7902,8.191036,1
Baden-Baden,27661,379145,48.790478,8.190417,
Baden-Baden,27661,477608,48.79032,8.190731,
Baden-Baden,27661,8589,48.7903,8.190803,
"Bahnhof, Baden-Baden",27661,592081,48.790253,8.190938,
Bamberg,,612084,49.90076,10.899484,1
Bamberg,612084,408972,49.90076,10.899489,
Basel Bad Bf,,262095,47.567287,7.607805,1
Basel Bad Bf,262095,376271,47.567287,7.607805,
Basel SBB,,453674,47.547405,7.589551,1
Basel SBB,453674,109737,47.547405,7.589551,
Bensheim,401467,343844,49.681423,8.616721,
"Bensheim, Bahnhof",,401467,49.681805,8.616955,1
Bergen Bahnhof,,475265,54.420822,13.418737,1
Bergen auf Rügen,475265,199878,54.420414,13.417534,
Bergen auf Rügen,475265,463665,54.42034,13.417668,
Berlin Gesundbrunnen,379823,134237,52.548386,13.390704,
Berlin Gesundbrunnen,379823,223436,52.548573,13.390519,
Berlin Gesundbrunnen,379823,240044,52.548485,13.390691,
Berlin Gesundbrunnen,379823,31011,52.548885,13.39039,
Berlin Gesundbrunnen,379823,579125,52.54869,13.390501,
Berlin Gesundbrunnen,379823,585228,52.548794,13.3904,
Berlin Hbf,567183,140061,52.52511,13.369472,
Berlin Hbf,567183,190914,52.52496,13.368911,
Berlin Hbf,567183,238019,52.52488,13.369627,
Berlin Hbf,567183,249111,52.525143,13.369612,
Berlin Hbf,567183,272241,52.525223,13.369887,
Berlin Hbf,567183,292740,52.52506,13.369167,
Berlin Hbf,567183,401994,52.524788,13.369667,
Berlin Hbf,567183,420797,52.52519,13.369752,
Berlin Hbf,567183,431257,52.525097,13.369321,
Berlin Hbf,567183,43879,52.524998,13.369061,
Berlin Hbf,567183,538270,52.524967,13.369527,
Berlin Ostbahnhof,101663,220716,52.510475,13.43524,
Berlin Ostbahnhof,101663,406235,52.510242,13.434586,
Berlin Ostbahnhof,101663,489004,52.510254,13.435024,
Berlin Ostbahnhof,101663,518572,52.510414,13.435172,
Berlin Ostbahnhof,101663,581978,52.510178,13.434942,
Berlin Ostkreuz,479271,122347,52.502907,13.468553,
Berlin Ostkreuz,479271,582778,52.50304,13.468615,
Berlin Südkreuz,285540,193044,52.475925,13.365291,
Berlin Südkreuz,285540,263358,52.475407,13.365754,
Berlin Südkreuz,285540,3101,52.47565,13.365612,
Berlin Südkreuz,285540,365043,52.475887,13.365455,
Berlin Südkreuz,285540,468780,52.475685,13.365454,
Berlin Südkreuz,285540,492268,52.475433,13.365603,
Berlin Zoologischer Garten,284272,178133,52.50762,13.332927,
Berlin Zoologischer Garten,284272,259685,52.507652,13.332804,
Berlin Zoologischer Garten,284272,388365,52.507717,13.332555,
Berlin-Lichtenberg,348799,171268,52.510002,13.49649,
Berlin-Spandau,264655,416734,52.534485,13.1971,
Berlin-Spandau,264655,423024,52.5346,13.197163,
Berlin-Spandau,264655,507732,52.534542,13.197124,
Berlin-Spandau,264655,563763,52.534668,13.197191,
Berlin-Wannsee,390601,241604,52.421158,13.180074,
Berlin-Wannsee,390601,430449,52.421215,13.180006,
Bern,,325696,46.948833,7.439131,1
Bern,325696,45711,46.948833,7.439131,
Bernau(b Berlin),348181,371905,52.675426,13.591859,
Bernau(b Berlin),348181,510931,52.67533,13.592016,
Biberach ZOB/Bahnhof,,183697,48.101456,9.792795,1
Biberach(Riß),183697,302491,48.101994,9.793155,
Biberach(Riß),183697,535683,48.101936,9.792939,
Bielefeld Hbf,,415288,52.02941,8.533339,1
